NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14I,DPTOMPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,4,2,2,2,2,2,1,1,Bogotá,1,6,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,47,1,4,2017
2,2,1,4,1,2,2,1,1,1,1,Bogotá,1,23,1,4,2017
2,2,1,4,1,2,2,1,1,1,1,Bogotá,1,10,1,4,2017
1,2,1,4,2,2,2,2,2,1,1,Bogotá,2,51,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,50,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,35,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,77,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,76,1,4,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,78,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,21,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,15,1,4,2017
1,2,1,4,2,2,1,2,2,1,1,Bogotá,1,29,1,4,2017
2,2,1,4,2,2,2,1,1,2,1,Bogotá,2,79,1,4,2017
1,2,1,4,2,2,2,1,2,1,1,Bogotá,2,16,1,4,2017
2,2,1,2,1,2,2,2,1,1,1,Bogotá,1,31,1,2,2017
1,2,1,4,2,2,2,2,1,1,1,Bogotá,1,34,1,4,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,55,1,4,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,62,1,4,2017
1,2,1,2,1,2,2,1,1,2,1,Bogotá,2,77,1,2,2017
9,2,1,2,2,2,2,2,2,2,1,Bogotá,1,64,1,2,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,42,1,4,2017
1,2,1,4,1,2,2,2,1,1,1,Bogotá,1,12,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,61,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,19,1,4,2017
1,2,1,5,2,2,2,1,2,2,1,Bogotá,1,62,1,5,2017
2,2,1,4,2,2,1,1,1,1,1,Bogotá,2,4,1,4,2017
9,9,1,4,2,1,2,2,2,2,1,Bogotá,2,15,1,4,2017
9,9,1,4,2,1,1,1,1,2,1,Bogotá,1,64,1,4,2017
2,1,1,4,2,2,2,2,2,2,1,Bogotá,2,51,1,4,2017
